FSA,lat_coord,lon_coord
G4T,47.4083,-61.7886
G4V,48.9162,-65.8111
G4W,48.8024,-67.4749
G4X,48.8677,-64.8023
G4Z,50.1984,-68.9588
G5A,47.7284,-70.1229
G5B,50.0251,-66.9175
G5C,49.1982,-68.3544
G5H,48.5693,-68.1788
G5J,48.5157,-67.4674
G5L,48.4203,-68.5566
G5M,48.4976,-68.4582
G5N,48.366,-68.465
G5R,47.8216,-69.5177
G5T,47.5854,-68.5353
G5V,46.9469,-70.5402
G5X,46.2361,-70.7685
G5Y,46.1312,-70.6386
G5Z,46.0589,-70.7111
G6A,46.1442,-70.6839
G6B,45.5451,-70.8213
G6C,46.7708,-71.083
G6E,46.4426,-71.0038
G6G,46.127,-71.3526
G6H,46.0916,-71.3874
G6J,46.6361,-71.3137
G6K,46.6951,-71.29
G6L,46.2095,-71.8369
G6P,46.0417,-71.9641
G6R,46.0235,-71.9587
G6S,46.0224,-71.8835
G6T,46.0823,-71.9726
G6V,46.7907,-71.163
G6W,46.7543,-71.2222
G6X,46.7141,-71.2643
G6Y,46.809,-71.1204
G6Z,46.6879,-71.1917
G7A,46.6854,-71.3806
G7B,48.3361,-70.8641
G7G,48.459,-71.0907
G7H,48.4128,-71.0381
G7J,48.4192,-71.1009
G7K,48.3653,-71.1162
G7N,48.1604,-71.2868
G7P,48.5497,-71.3097
G7S,48.4318,-71.1833
G7T,48.399,-71.1723
G7X,48.3957,-71.3767
G7Y,48.3782,-71.2239
G7Z,48.4272,-71.2753
G8A,48.4137,-71.2741
G8B,48.5558,-71.6727
G8C,48.5304,-71.6408
G8E,48.639,-71.6968
G8G,48.3927,-71.8481
G8H,48.4725,-72.2371
G8J,48.8942,-73.4479
G8K,48.7057,-72.442
G8L,50.1276,-71.6909
G8M,48.8697,-72.4763
G8N,48.1478,-71.7675
G8P,49.8835,-74.2493
G8T,46.3894,-72.5344
G8V,46.4111,-72.4908
G8W,46.4169,-72.6034
G8Y,46.3664,-72.6153
G8Z,46.3461,-72.5712
G9A,46.3579,-72.6407
G9B,46.316,-72.6817
G9C,46.3901,-72.6705
G9H,46.3145,-72.3698
G9N,46.5513,-72.7366
G9P,46.5169,-72.7181
G9R,46.592,-72.8039
G9T,46.6297,-72.7213
G9X,47.6112,-73.3049
H1A,45.6693,-73.5067
H1B,45.6344,-73.5239
H1C,45.6675,-73.5371
H1E,45.6385,-73.585
H1G,45.6131,-73.6192
H1H,45.5902,-73.639
H1J,45.6163,-73.5738
H1K,45.6087,-73.5449
H1L,45.607,-73.5171
H1M,45.5884,-73.5562
H1N,45.577,-73.5299
H1P,45.5979,-73.5944
H1R,45.5862,-73.6084
H1S,45.5472,-73.6113
H1T,45.5748,-73.5704
H1V,45.5585,-73.546
H1W,45.5444,-73.5466
H1X,45.556,-73.5738
H1Y,45.5484,-73.5784
H1Z,45.5694,-73.6221
H2A,45.562,-73.599
H2B,45.5741,-73.6509
H2C,45.5607,-73.6594
H2E,45.551,-73.6114
H2G,45.5437,-73.5929
H2H,45.5369,-73.5743
H2J,45.5301,-73.5825
H2K,45.5308,-73.5563
H2L,45.519,-73.5595
H2M,45.553,-73.6411
H2N,45.5402,-73.6514
H2P,45.5423,-73.6346
H2R,45.54,-73.6226
H2S,45.5351,-73.6055
H2T,45.5245,-73.595
H2V,45.517,-73.6077
H2W,45.5178,-73.5805
H2X,45.5115,-73.5684
H2Y,45.5046,-73.5557
H2Z,45.5044,-73.5631
H3A,45.5044,-73.5746
H3B,45.5005,-73.5686
H3C,45.5046,-73.5434
H3E,45.4603,-73.5481
H3G,45.4983,-73.578
H3H,45.501,-73.5885
H3J,45.4862,-73.5727
H3K,45.4807,-73.5547
H3L,45.5465,-73.6708
H3M,45.5388,-73.6933
H3N,45.5295,-73.6316
H3P,45.5217,-73.6395
H3R,45.5102,-73.6485
H3S,45.5068,-73.6299
H3T,45.5019,-73.6191
H3V,45.499,-73.609
H3W,45.4898,-73.6314
H3X,45.4817,-73.6421
H3Y,45.4871,-73.6053
H3Z,45.4822,-73.5932
H4A,45.4728,-73.6162
H4B,45.4615,-73.6312
H4C,45.4679,-73.6
H4E,45.4591,-73.5912
H4G,45.4632,-73.5694
H4H,45.4456,-73.5812
H4J,45.5313,-73.7092
H4K,45.5196,-73.7333
